ID;Группа проверок/Модуль;Приоритет;Проверка;Результат
121;Страница редактирования;Высокий;Скрытие клавиатуры при нажатии «Done/Готово»;Клавиатура убирается, фокус с поля снимается, кнопка Save видна
122;Страница редактирования;Высокий;Доступ к нижним полям при открытой клавиатуре;Экран позволяет прокрутить содержимое до кнопки Save, не закрывая клавиатуру
123;Страница редактирования;Высокий;Нажатие 'SAVE' при обрыве связи;"Сообщение «Ошибка сохранения»; данные остаются в полях (не стираются)"
124;Страница редактирования;Высокий;Отображение очень длинного 'Description' в режиме правки;Поле ввода расширяется или появляется внутренний скролл
125;Страница редактирования;Высокий;Соответствие стиля шрифта в полях ввода;Шрифт при редактировании совпадает по стилю с тем, что видит пользователь в новости
126;Страница редактирования;Высокий;Цвет курсора и выделения текста в Dark Mode;Курсор контрастен фону, выделенный текст легко читается
127;Фильтр панели управления;Высокий;Выбор значения в поле 'Category';Выбрана нужная категория из выпадающего списка
128;Фильтр панели управления;Высокий;Выбор даты начала периода новостей (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
129;Фильтр панели управления;Высокий;Выбор даты окончания периода новостей (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
130;Фильтр панели управления;Высокий;Чек-бокс 'Active';Состояние чек-бокса меняется (установлен/снят)
131;Фильтр панели управления;Высокий;Чек-бокс 'Not active';Состояние чек-бокса меняется (установлен/снят)
132;Фильтр панели управления;Высокий;Кнопка 'FILTER';Применены фильтры, отображены новости за период
133;Фильтр панели управления;Высокий;Кнопка 'CANCEL';Окно фильтра закрыто без применения изменений
;Фильтр панели управления;Высокий;Скролл внутри выпадающего списка категорий;Если категорий много, список должен прокручиваться внутри окна фильтра
;Фильтр панели управления;Высокий;Выбор периода «Сегодня — Сегодня»;Отображаются новости, созданные только в текущие сутки
;Фильтр панели управления;Высокий;Дата начала позже даты окончания;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
;Фильтр панели управления;Высокий;Выбор будущей даты в фильтре;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
;Фильтр панели управления;Высокий;Работа Date Picker (календаря);Календарь адаптирован под экран (не выходит за границы), удобно выбирать пальцем
134;Фильтр панели управления;Высокий;Установка обоих чек-боксов одновременно;Отображается полный список (и активные, и неактивные)
135;Фильтр панели управления;Высокий;Снятие обоих чек-боксов;Либо список пуст, либо кнопка «Filter» заблокирована (зависит от логики приложения)
137;Фильтр панели управления;Высокий;Нажатие кнопки 'FILTER'  без изменения параметров;Список просто обновляется, фильтры остаются прежними
138;Фильтр панели управления;Высокий;Скорость фильтрации при большом архиве новостей;Перестроение списка происходит плавно (появляется лоадер)
139;Фильтр панели управления;Высокий;Поворот экрана с открытым окном фильтра;Окно адаптируется под ширину, кнопки 'FILTER'/'CANCEL' остаются в зоне видимости
;Фильтр панели управления;Средний;Сохранение настроек при сворачивании приложения;Если пользователь настраивал фильтр и свернул апп, при возврате настройки на месте
;Фильтр панели управления;Высокий;Время отклика после нажатия кнопки 'FILTER';Новости должны отфильтроваться быстро (до 1-2 сек), виден индикатор загрузки
;Фильтр панели управления;Высокий;Контрастность выбранных элементов в Dark Mode;Галочки в чек-боксах и выбранные даты отчетливо видны
140;Создание новости;Высокий;Выбор значения в поле 'Category';Выбрана нужная категория из выпадающего списка
141;Создание новости;Высокий;Заполнение заголвок в поле 'Title' и ввести новый текст;Текст заголовка успешно заполнен
142;Создание новости;Высокий;Выбор даты публикации новости (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
143;Создание новости;Высокий;Выбор времени публикации новости (часы-минуты):кнопки 'OK' и 'CANCEL';Выбрано нужное время. Кнопка 'OK' подтверждает выбор времени. Кнопка 'CANCEL' осуществляет выход из календаря
144;Создание новости;Высокий;Ввод времени через кнопку 'клавиатура':кнопки 'OK' и 'CANCEL';Выбрано нужное время. Кнопка 'OK' подтверждает выбор времени. Кнопка 'CANCEL' осуществляет выход из календаря
145;Создание новости;Высокий;Заполнение описание в поле 'Description';Текст описания успешно заполнен
146;Создание новости;Высокий;Кнопка 'SAVE';Новость сохранена, происходит переход к списку новостей
147;Создание новости;Высокий;Кнопка 'CANCEL';Окно создания новости закрыто
148;Создание новости;Высокий;Нажатие SAVE с полностью пустой формой;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак)
;Создание новости;;Сохранение с пустым заголовком;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
149;Создание новости;Высокий;Создание новости только с заголовком;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак)
150;Создание новости;Высокий;Ввод в заголовок пробелы;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
151;Создание новости;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в заголовок;Данные отображаются корректно, база данных не выдает ошибку
152;Создание новости;Высокий;Границы заголовка;Границы заголовка от 1 до 60 символов
154;Создание новости;Высокий;Выбор прошедшей даты в поле 'Publication date';Прошешие даты визуально неактивны (серого цвета). Клик по ним не приводит к выбору даты
155;Создание новости;Высокий;Отмена выбора даты публикации;В форме создания поле даты публикации осталось с прежней датой
156;Создание новости;Высокий;Отмена выбора времени публикации;В форме создания поле времени публикации осталось прежним
157;Создание новости;Высокий;Валидация поля 'Time' путем ввода часов и минут через клавиатуру;При неккоректном вводе времени появилось сообщение об ошибке: 'Enter a valid time'
158;Создание новости;Высокий;Сохранение с пустым описанием;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
159;Создание новости;Высокий;Сохранение с пробелами в описании;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
160;Создание новости;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в 'Description';Данные отображаются корректно, база данных не выдает ошибку
161;Создание новости;Высокий;Границы описания;Границы заголовка от 1 до 2000 символов
162;Создание новости;Высокий;Сворачивание приложения в процессе содания новости;При возврате введенный текст в полях сохранен
164;Создание новости;Высокий;Скрытие клавиатуры при нажатии «Done/Готово»;Клавиатура убирается, фокус с поля снимается, кнопка Save видна
165;Создание новости;Высокий;Доступ к нижним полям при открытой клавиатуре;Экран позволяет прокрутить содержимое до кнопки Save, не закрывая клавиатуру
166;Создание новости;Высокий;Нажатие 'SAVE' при обрыве связи;"Сообщение «Ошибка сохранения»; данные остаются в полях (не стираются)"
167;Создание новости;Высокий;Отображение очень длинного описания в режиме создания;Поле ввода расширяется или появляется внутренний скролл
168;Создание новости;Высокий;Соответствие стиля шрифта в полях ввода;Шрифт при создании совпадает по стилю с тем, что видит пользователь в новости
169;Создание новости;Высокий;Цвет курсора и выделения текста в Dark Mode;Курсор контрастен фону, выделенный текст легко читается
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
